category_name,original_text,created_text,name,model_name,prompt_type
Anthologies,The Women Up To No Good series are anthologies of dark fiction by marginalized voices.,"Anthologies is a brand dedicated to empowering women through storytelling, fostering community, and promoting gender equality. Women Up To No Good is a specific project within this brand, focusing on showcasing the diverse, often overlooked, experiences of women who challenge societal norms and inspire positive change. Through various mediums, both projects aim to amplify female voices, encourage self-expression, and contribute to a more inclusive and equitable world.",Women Up To No Good,marin/marin-8b-instruct,generic
Anthologies,Stories Of Monstrous Passions,"Anthologies is a brand dedicated to exploring the boundaries of AI storytelling, focusing on the intersection of technology and creative expression. Tales of Voracious is a project under this brand that specifically delves into the fascinating world of voracious readers and their insatiable thirst for knowledge, examining how AI can understand and generate narratives about such intense intellectual pursuits.",Tales of Voracious,marin/marin-8b-instruct,generic
Anthologies,"Almost Finished is a book of inspiring interviews featuring 75 Dreamchasers on building legacy,  taking chances, and giving grace.","Anthologies is a brand that embodies the spirit of literary exploration, curating diverse voices and narratives in its publication, Aspiring Co. Book - Almost Finished. This project showcases emerging and established authors, celebrating creativity and ambition across genres.",Aspiring Co. Book- Almost Finished,marin/marin-8b-instruct,generic
Apps,"Integrate photos and music into StoryPress, a free app that helps people capture their life stories.","Apps and the StoryPress project aim to revolutionize how we experience and engage with human history by shifting the focus from impersonal events to deeply personal stories.  StoryPress uses a unique approach, weaving together individual narratives from diverse sources and perspectives to create a richer, more relatable, and emotionally resonant understanding of historical events. By prioritizing personal experiences and anecdotes, StoryPress seeks to make history feel more accessible, human, and impactful, offering a more nuanced and empathetic perspective on our shared past.","StoryPress: Human History, Told through Personal Stories",marin/marin-8b-instruct,generic
Architecture,The Treehouse at Cornell takes architecture to new heights with a teaching space in the trees for Cornell Outdoor Education,"The Treehouse at Cornell University, a project by the Marin AI lab, embodies the lab's philosophy of open, collaborative AI development. The project centers around creating and sharing accessible AI models, emphasizing transparency, reproducibility, and community involvement.  The core idea is to foster a collaborative environment where researchers and developers can collectively build, refine, and contribute to cutting-edge AI technologies, promoting open science and democratizing access to AI research and development.",The Treehouse at Cornell,marin/marin-8b-instruct,generic
Art Books,An Otto and Victoria paper doll book that empowers your imagination and unlocks your inner storyteller.,"Art Books is a brand that specializes in creating unique, high-quality art books that showcase a wide range of creative works from various artists and mediums. Their focus is on curating and presenting art in a visually stunning and engaging format. The project Dressing Your Octopus, while not directly related to Art Books, is a creative initiative that encourages people to explore their artistic side by providing a platform for users to share and discover their own and others' artwork. It embodies the spirit of creativity and self-expression, aligning with Art Books' mission to inspire and celebrate artistic talent.",Dressing Your Octopus,marin/marin-8b-instruct,generic
Art Books,"Pre-order our anthology of artists and collectives from 2013 - 2023 working in China, Hong Kong & beyond!","Art Books, a brand by yáo collaborative, introduces its first book, ""Shifting the Angle of Shine,"" marking a unique collaboration that delves into the intersection of visual arts and cultural narratives. This publication explores the diverse perspectives and creative expressions of artists from various backgrounds, aiming to challenge and expand the reader's understanding of contemporary art. Through a curated selection of essays, interviews, and visual content, ""Shifting the Angle of Shine"" invites readers to reconsider the traditional boundaries of art, presenting a fresh and inclusive dialogue that reflects the complexity and richness of the global art scene.",Shifting the Angle of Shine: yáo collaborative's first book!,marin/marin-8b-instruct,generic
Art Books,A coffee table book containing visual expressions of 'change'.,"Art Books is a brand dedicated to exploring the intersection of art, technology, and culture through curated experiences.  Change is a project within this brand that likely focuses on the evolving landscape of art and its impact on society, presenting new perspectives and fostering dialogue around the dynamic nature of artistic expression and cultural shifts.",Change,marin/marin-8b-instruct,generic
Art Books,"A collection of photographs, poetry, and essays documenting Korea's culture and beliefs around death, afterlife, and reincarnation.","Art Books is a brand dedicated to exploring and presenting diverse cultural phenomena through the lens of art and design. One of their projects, ""Return: Korea's Rituals of Death, Spirits, and Ancestors,"" delves into the intricate and profound aspects of Korean culture surrounding death rituals, the belief in spirits, and the reverence for ancestors. This project seeks to convey the depth of Korean spiritual practices and their significance in everyday life, offering a visual and narrative exploration of these traditions. Through a combination of photography, storytelling, and cultural insights, ""Return"" aims to educate and captivate audiences about the unique ways in which Korea honors its past and connects with the spiritual realm.","Return: Korea's Rituals of Death, Spirits, and Ancestors",marin/marin-8b-instruct,generic
Art Books,A collection of hundreds of anonymous shame confessions from real people and an illustrated story about overcoming shame,"Art Books is a brand dedicated to creating visually stunning illustrated books, and ""Shame: An Illustrated Book"" is one of their projects that embodies this essence. This project delves into the complex and often uncomfortable topic of shame, presenting it through a unique blend of art and narrative. By intertwining powerful visuals with thoughtful text, ""Shame: An Illustrated Book"" offers a profound exploration of this universal human emotion, aiming to provide both insight and solace to readers.",Shame: An Illustrated Book,marin/marin-8b-instruct,generic
Art Books,A hardcover anthology collecting my first five sketchbooks.,"Art Books is a brand dedicated to exploring the intersection of art, technology, and human connection through curated experiences and publications. Visions of Whence is a project within this brand that delves into the evolution of human thought, creativity, and technology, examining how these elements have shaped our understanding of the world and our place within it.",Visions of Whence,marin/marin-8b-instruct,generic
Audio,"A series of critical, high quality radio reports - out of Africa - for Africa - free for Africa - you can make it possible","The brand Audio represents a media company focused on creating engaging audio content, while The Critical African Circumcision Radio Series is a project by this brand that explores the complex and multifaceted topic of circumcision in Africa, aiming to provide in-depth analysis and critical perspectives on this cultural, health, and social issue.",The Critical African Circumcision Radio Series,marin/marin-8b-instruct,generic
Audio,The Humanist Experience is a unique podcast where we educate our emotions and expand our world by living radical experiences.,"Audio is a brand dedicated to creating innovative audio products, emphasizing cutting-edge technology and user-centric design to deliver superior sound experiences. Humanist Experience Radio is a project that explores and celebrates human experiences through radio programming, focusing on diverse perspectives and storytelling to foster empathy and understanding among listeners.",Humanist Experience Radio,marin/marin-8b-instruct,generic
Audio,"A team of NPR veterans breaks away to podcast and create NPR stories about fashion as anthropology, history, symbolism, and culture.","The brand Audio and the project The SEAMS: In every stitch, a story, embodies the essence of narrative craftsmanship, weaving together the threads of human experience into unique, emotionally resonant audio stories. It celebrates the power of storytelling, capturing diverse voices and perspectives, and delivering immersive listening experiences that connect people through shared human experiences, highlighting the emotional depth and richness of life's everyday moments.","The SEAMS: In every stitch, a story.",marin/marin-8b-instruct,generic
Calendars,Celtic Art Wall Calendar for 2015,"The Calendars brand, particularly the Celtic Art Calendar project, centers around the celebration and appreciation of Celtic artistry and cultural heritage. This calendar project, likely part of the Calendars brand, showcases the intricate and symbolic designs of Celtic art, which are deeply rooted in the mythology and traditions of Celtic regions. The essence of this brand/project lies in its ability to bring these ancient and mystical art forms into everyday life, offering a visual reminder of Celtic history and aesthetics throughout the year.",Celtic Art Calendar,marin/marin-8b-instruct,generic
Calendars,A wall calendar featuring colourful and whimsical artworks by Natacha Chohra.,"Calendars and the project Whimsical Wonders 2024 Calendar are centered around creating unique and engaging calendars that combine functionality with artistic and imaginative themes. The core idea of Whimsical Wonders is to present a calendar that is not just a tool for organizing time, but a source of inspiration and joy, filled with creative and enchanting artwork or illustrations that add a touch of whimsy to everyday life.","Whimsical Wonders, A 2024 Calendar",marin/marin-8b-instruct,generic
Calendars,"12-month calendar with images specific to Anchorage, Alaska by Alaskan Photographer Jeff Schultz","Calendars, as a brand, specializes in creating high-quality calendars that cater to diverse tastes and preferences, ensuring a seamless blend of functionality and aesthetic appeal. The Anchorage & Vicinity 2016 Calendar, a specific offering from this brand, focuses on showcasing the unique charm and natural beauty of the Anchorage area and its surroundings in Alaska. This calendar provides a visual journey through the region's stunning landscapes, wildlife, and cultural attractions, making it an ideal choice for those looking to capture the essence of this picturesque location throughout the year.",Anchorage & Vicinity 2016 Calendar,marin/marin-8b-instruct,generic
Calendars,An illustrated calendar filled with fantastic beasts & beings from my world of Strangehollow,"Calendars, as a brand, specializes in creating beautiful and meaningful products that help people organize their time and enjoy the journey of each day. The Strangehollow 2022 A4 Wall Calendar is a specific product that features the unique and intriguing artwork of Strangehollow, a project known for its captivating and often surreal imagery. This calendar is designed to inspire creativity and add a touch of whimsy to any room, making it a perfect choice for those who appreciate art and want to keep track of their dates in a visually appealing way.",Strangehollow 2022 A4 Wall Calendar,marin/marin-8b-instruct,generic
Ceramics,I am an ocarina maker. I want to make the very first complete ocarina set of Zelda : Ocarina of Time replicas!,"Ceramics is a brand renowned for its meticulous craftsmanship and innovative designs, particularly in the realm of video game-inspired art. The Zelda: Ocarina of Time replicas, part of their collection, capture the essence of this legacy by offering a complete set of ocarinas from the iconic game. These replicas are not mere toys but are crafted with attention to detail, reflecting the brand's commitment to quality and authenticity. Each ocarina in the set is designed to mirror the original in-game instruments, making them a perfect collectible for fans and enthusiasts. The compact nature of these replicas ensures they are both a beautiful and practical addition to any collection, embodying the spirit of adventure and nostalgia associated with the Zelda series.",Zelda : Ocarina of Time replicas - complete ocarina set,marin/marin-8b-instruct,generic
Children's Books,"An Illustrated Children's Book Honoring Mamas, their Magic, and the Multiple, Magnificent ""Hats"" That They Wear","Children's Books is a brand dedicated to creating engaging, educational content for young readers, focusing on age-appropriate stories, illustrations, and themes that foster learning and imagination. The Magical Mama project, a subset of this brand, centers around a series of books featuring a nurturing, magical character named Mama, who uses her kindness, wisdom, and gentle magic to teach children important life lessons, emotional intelligence, and positive values, aiming to inspire confidence, empathy, and a love for reading in early childhood.",Magical Mama,marin/marin-8b-instruct,generic
Children's Books,A children’s picture book about Zorro and the unique friends he makes on a rainy night full of adventure - benefiting rescue dogs!,"Children's Books is a brand dedicated to creating engaging, educational, and entertaining content for young readers, fostering creativity, curiosity, and a love for reading. Zorro the Boston Terrier Book, a stretch goal project, aims to raise $10,000 to bring this unique story to life. This book promises to follow the adventures of Zorro, a charming Boston Terrier, as he navigates the ups and downs of life, teaching valuable lessons about friendship, courage, and perseverance to its young audience.","Zorro the Boston Terrier Book - Stretch Goal $10,000",marin/marin-8b-instruct,generic
Childrenswear,"Our ""Negative Waste, Positive Impact"" T-shirt is made ENTIRELY from off-cut fabrics and threads! 100% organic cotton. Unisex. 1-4 yrs.","Childrenswear is a brand dedicated to creating sustainable and eco-friendly children's clothing, with a specific focus on the NUDNIK project, which aims to produce the 1st Negative-Waste, Positive Impact Kidswear. This innovative initiative seeks to minimize environmental harm by utilizing recycled and biodegradable materials, designing garments that are both durable and adaptable to different seasons, and implementing a unique take-back program to recycle or upcycle old children's clothing, thereby reducing waste and promoting a circular economy.","NUDNIK: The 1st Negative-Waste, Positive Impact Kidswear",marin/marin-8b-instruct,generic
Chiptune,Experience a full album of chiptune-style music bridging retro sounds & modern production from game composer Jimmy Hinson!,"Chiptune is a music genre that uses sound chips from vintage video game consoles and computers, while Big Giant Circles' ""The Glory Days"" (Impostor Nostalgia 2) is a chiptune album that explores the nostalgia and emotional connection people have with retro video games and technology, using 8-bit sound chips to recreate the melodies and atmospheres of classic gaming experiences.","Big Giant Circles - ""The Glory Days"" (Impostor Nostalgia 2)",marin/marin-8b-instruct,generic
Chiptune,"We've made a full length, high energy, electronic pop album using  a Game Boy, Korg synths, and two voices. We want you to hear it!","Chiptune is a genre of music that utilizes sound chips from vintage computers and gaming consoles, emphasizing nostalgic sounds and playful melodies. Diamonds & Glass - Chip-Pop Album by The Fluorescent is a project that creatively fuses chiptune with pop music, resulting in a unique blend of retro gaming aesthetics and catchy, contemporary pop hooks.",Diamonds & Glass - Chip-Pop Album from The Fluorescent,marin/marin-8b-instruct,generic
Civic Design,This bag packs your stuff with a story. Made out of used boats from the Greek beaches. By refugees who get paid for their work.,"Civic Design is a brand that embodies the principles of community-driven, sustainable, and inclusive design, focusing on creating innovative solutions that address urban challenges while fostering social cohesion. The BAG2WORK project, made by refugees, represents a powerful expression of this ethos. It involves transforming discarded boats, often symbols of displacement, into functional and meaningful products. This initiative not only provides employment and skills training for refugees but also repurposes waste, promoting environmental sustainability. By merging the struggles and talents of refugees with the principles of civic design, BAG2WORK creates a narrative of resilience, creativity, and hope, showcasing how marginalized communities can contribute to urban sustainability and social change through design.",BAG2WORK: Made by refugees - and out of used boats,marin/marin-8b-instruct,generic
Classical Music,"Help us complete the Recording of very rare Mozart's music, composed in Milan in 1771","Classical Music is a timeless brand that embodies the spirit of sophistication, elegance, and emotional depth found in classical music's rich heritage. The Mozart Promenade project, celebrating Wolfgang Amadeus Mozart's 1771 trip to Milan, is a celebration of this heritage, focusing on the profound musical and cultural impact of this pivotal moment in Mozart's life. This project offers a unique journey through the vibrant city, showcasing how Mozart's experiences there influenced his compositions and shaped the future of classical music.",Mozart Promenade - Celebrating Wolfgang's 1771 trip to Milan,marin/marin-8b-instruct,generic
Classical Music,"Be part of the future of this one-of-a-kind, classic and cutting edge ensemble","Classical Music, as a brand, embodies the timeless elegance and emotional depth of traditional Western music, celebrating its rich history and cultural significance. Quodlibet Ensemble's Debut CD, a project dedicated to this classical legacy, showcases the ensemble's commitment to authenticity and artistry. This debut CD features a curated selection of classical masterpieces, performed with passion and precision, highlighting the ensemble's ability to breathe new life into classic compositions. The project aims to connect contemporary audiences with the enduring beauty of classical music, offering a fresh perspective on this revered genre.",Quodlibet Ensemble's Debut CD!,marin/marin-8b-instruct,generic
Classical Music,"Dal Niente breaks new ground with four musical collaborations that intersect the worlds of theater, opera, and dance.","Classical Music, as a brand, embodies the timeless and emotive world of classical music, capturing its elegance, depth, and cultural significance. Ensemble Dal Niente, the project behind STAGED, is a collective of exceptional musicians dedicated to reimagining and revitalizing the classical music experience through innovative performances and interpretations, often blurring the lines between traditional genres and contemporary influences.",Ensemble Dal Niente: STAGED,marin/marin-8b-instruct,generic
Comedy,"THE DUKE OF MARYLEBONE COMEDY FILM - A BRAVE FOOD TASTER, HIS INDULGENT SWEETHEART AND A FEW HONEST POLITICIANS. WHAT COULD GO WELL?","Comedy and the project Probabilistically, the most unserious comedy ever.Seriously! is a concept centered around the idea of taking comedy to its most extreme and uninhibited form. It challenges conventional humor by pushing the boundaries of what is considered ""unserious"" and ""absurd."" The project likely explores the use of advanced AI and machine learning to generate content that is deliberately nonsensical, irreverent, and over-the-top, aiming to create a truly unique comedic experience. By embracing the most unserious aspects of humor, it seeks to redefine what comedy can be, offering a fresh and unapologetically silly take on the genre.","Probabilistically, the most unserious comedy ever.Seriously!",marin/marin-8b-instruct,generic
Comedy,"30 film professionals and 45 college students team up to make an ambitious film satire on wealth, poverty, and militarism.","Comedy, as a brand, is dedicated to bringing laughter and joy to people's lives through high-quality content. Their latest project, ""Major Barbara: A Kingdom County/Semester Cinema Production,"" is a comedic production aimed at entertaining audiences with humor and wit. This project showcases Comedy's commitment to delivering engaging and hilarious experiences for viewers.",Major Barbara: A Kingdom County/Semester Cinema Production,marin/marin-8b-instruct,generic
Comic Books,Hurtling toward Earth to save all mankind--it's a bird--it's a plane--It's a groundhog from space? It's Sven!,"Comic Books is a brand that specializes in creating engaging graphic stories. Sven The Groundhog: Savior From the Stars #1 is a project within this brand, featuring Sven, a groundhog character who embarks on a cosmic adventure to save the universe from celestial threats, blending humor and epic space-saving missions in its narrative.",Sven The Groundhog: Savior From the Stars #1,marin/marin-8b-instruct,generic
Comic Books,"A Celebrating the Silver Anniversary of Jim Balent’s Comic Book: Tarot, Witch of the Black Rose with a NEW Dark Fantasy Adventure!","The brand Comic Books represents a vibrant and imaginative medium, blending artistic expression with storytelling to create engaging visual narratives that captivate audiences of all ages. Comic Books offer a unique blend of genres, from superhero adventures to heartfelt dramas, serving as both entertainment and a platform for exploring complex themes and social commentary. The 25th Anniversary of Tarot, Witch of the Black Rose Issue marks a significant milestone in the series, celebrating its enduring legacy and impact on the comic book industry. This special edition likely features a continuation of the mystical and darkly alluring storyline, with the protagonist Tarot facing new challenges and revelations, while paying homage to the series' rich history and loyal fanbase through nostalgic elements and modern storytelling.","25th Anniversary of Tarot, Witch of the Black Rose Issue!",marin/marin-8b-instruct,generic
Comic Books,"In a unique fantasy world, a boy must journey to save his companion beast and get his friends back, before he pushes them all too far.","Comic Books is a brand that specializes in creating engaging, high-quality comic book content. Beastlands #1-9, a series under this brand, is a fantasy adventure series that explores a richly imagined world filled with magical creatures and epic battles. The series is known for its heartfelt storytelling and intricate character development, making it a must-read for fantasy enthusiasts.",Beastlands #1-9: A Heartful Fantasy Adventure,marin/marin-8b-instruct,generic
Comics,"An essential crowdfunding tool for writers, artists & comic publishers! Get organized and launch your Kickstarter with confidence!","Comics and the Comic Book Crowdfunding Planner 🚀 Workbook by ComixLaunch empower creators by providing resources and strategies to successfully launch and manage their comic book projects. These tools focus on guiding artists, writers, and teams through the complex process of crowdfunding, from concept development to campaign execution and post-campaign engagement. They offer practical advice, templates, and industry insights to help creators navigate the challenges of crowdfunding, connect with audiences, and ultimately bring their comic visions to life, fostering creative expression and community support in the comic book industry.",Comic Book Crowdfunding Planner 🚀 Workbook by ComixLaunch,marin/marin-8b-instruct,generic
Comics,"An essential crowdfunding tool for writers, artists & comic publishers! Get organized and launch your Kickstarter with confidence!","Comics and the Comic Book Crowdfunding Planner 🚀 Workbook by ComixLaunch empower creators by providing resources and strategies to successfully launch and manage their comic book projects. These tools focus on guiding artists, writers, and teams through the complex process of crowdfunding, from concept development to campaign execution and post-campaign engagement. They offer practical advice, templates, and industry insights to help creators navigate the challenges of crowdfunding, connect with audiences, and ultimately bring their comic visions to life, fostering creative expression and community support in the comic book industry.",Comic Book Crowdfunding Planner 🚀 Workbook by ComixLaunch,marin/marin-8b-instruct,generic
Comics,The award winning Dr Dream anthology makes its debut--only on Kickstarter!,"Comics and the project Dr. Dream: The Collection represent the creative intersection of art, storytelling, and character development within the comic book genre. Comics, as a medium, uses sequential art and text to convey narratives across diverse themes and genres, engaging readers with visual and textual elements. Dr. Dream: The Collection, meanwhile, focuses on a specific character or storyline, likely exploring the character's adventures, struggles, and growth, offering a curated selection of stories that delve into their psyche and journey. Together, they embody the dynamic and imaginative realm of comic book artistry, where creativity knows no bounds.",Dr Dream: The Collection,marin/marin-8b-instruct,generic
Comics,"A NSFW, Erotic, Best Of Comic Collection DOUBLE FEATURE! - Covers by Jerry Carr. Spicy Covers by MOMDADNO. A Discordia Publishing drop.","Comics and the projects Taste of Cherry and Deep Inside Cherry, by Larry Welz, are emblematic of a distinct brand identity centered on humor, satire, and social commentary, delivered through the lens of comic art. Comics, as a medium, is inherently playful and expressive, allowing for a unique blend of visual storytelling and textual wit. Taste of Cherry and Deep Inside Cherry, as specific projects, likely explore themes of human behavior, societal norms, and perhaps the absurdities of everyday life, all while maintaining a tone that is both engaging and thought-provoking. Larry Welz, as the creator, brings a personal touch to these projects, infusing them with his perspective and humor, making the brand resonate with audiences seeking entertainment and insight into the human condition through the comic medium.",Taste of Cherry & Deep Inside Cherry - by Larry Welz,marin/marin-8b-instruct,generic
Conceptual Art,The Syntheshredder is an interactive skate bowl utilizing motion and performance to generate unique sounds and musical compositions.,"Conceptual Art is an avant-garde movement emphasizing the idea behind an artwork over its aesthetic or technical execution, often using unconventional materials and methods to challenge traditional notions of art. The Syntheshredder, a project embodying this ethos, is a digital platform that leverages AI and blockchain technology to create unique, verifiable digital art pieces. By merging cutting-edge technology with the conceptual art movement, The Syntheshredder democratizes art creation and ownership, allowing artists and users to generate and trade digital art in a transparent and secure manner.",The Syntheshredder,marin/marin-8b-instruct,generic
Cookbooks,"A book of recipes, photos, and stories from Swatow and its diaspora. Jia! = Eat!","**Cookbooks** is a brand that embodies culinary expertise, delivering authentic, step-by-step recipes crafted by seasoned chefs to empower home cooks with professional techniques and global flavors.  

**Jia! Eating at the Swatow Table** is a project by Jia Lin, a Singapore-based culinary historian, that preserves and celebrates traditional Cantonese cuisine through meticulously researched recipes, storytelling, and cultural context, bridging generations and culinary heritage.",Jia! Eating at the Swatow Table,marin/marin-8b-instruct,generic
Cookbooks,"A celebration of Locally farmed food, flowers & wild flavours - Firar närodlade råvaror, blommor och vildplock","**Cookbooks** is a brand that embodies the spirit of culinary exploration and cultural exchange through food. It curates authentic recipes and stories, bridging traditions and modern tastes. **An Ode to the Swedish Soil / Ett Ode till den Svenska Jorden** is a project within this brand that celebrates Swedish cuisine. It delves into the country's agricultural heritage, featuring recipes rooted in local ingredients and narratives that honor the land’s role in shaping Swedish identity. The project aims to preserve culinary history while inspiring contemporary cooking, offering a taste of Sweden’s rich gastronomic culture.",An Ode to the Swedish Soil / Ett Ode till den Svenska Jorden,marin/marin-8b-instruct,generic
Cookbooks,Help me raise funds for the 2nd Edition of my award-winning Azerbaijani cookbook and my participation at the Best in the World Awards.,"Cookbooks and the project Pomegranates & Saffron: A Culinary Journey to Azerbaijan represent an exploration of culinary traditions and cultural heritage, focusing on the rich flavors and ingredients of Azerbaijan.",Pomegranates & Saffron: A Culinary Journey to Azerbaijan,marin/marin-8b-instruct,generic
Cookbooks,A cookbook to honor my mom's traditional Indonesian recipes full of flavors from my childhood.,"Cookbooks is a brand dedicated to preserving and sharing family recipes, while Bumbu - My mom's recipes of Indonesian cuisine is a specific project that focuses on collecting and documenting traditional Indonesian dishes passed down through generations.",Bumbu (seasoning) - My mom's recipes of Indonesian cuisine,marin/marin-8b-instruct,generic
Cookbooks,A cookbook with a mission to support the people and the organizations who protect Africa's vulnerable national parks.,"Cookbooks, as a brand, embodies the art of culinary science, bridging the gap between flavor and science. They offer a collection of recipes and cooking techniques that are deeply rooted in scientific principles, empowering home cooks and professionals alike to understand and manipulate the chemistry of food. Their mission is to demystify the science of cooking, making it accessible and practical for everyone. Tchad: Cooking for Conservation, on the other hand, is a project that utilizes culinary skills to support environmental conservation efforts. It focuses on promoting sustainable food systems, reducing waste, and encouraging eco-friendly cooking practices. Through workshops, recipes, and community engagement, Tchad aims to educate and inspire individuals to make environmentally conscious choices in their daily lives, ultimately contributing to a healthier planet.",Tchad: Cooking for Conservation,marin/marin-8b-instruct,generic
Country & Folk,Welcome to where the road less traveled meets the power of music. Join me on this incredible journey.,"Country & Folk is a music genre that blends traditional folk music with the narrative style and acoustic simplicity of country music, focusing on storytelling, authentic instrumentation, and heartfelt lyrics. Stefanie Clark Harris is currently working on a full-length album, bringing her unique voice and perspective to this genre.",Stefanie Clark Harris Is Recording a Full-Length Album,marin/marin-8b-instruct,generic
DIY,A Montessori inspired timeless tool for transforming paper waste into unique building blocks. For kids from 2 to 12 years.,"The brand DIY, short for ""Do It Yourself,"" embodies a philosophy of hands-on creativity and empowerment, encouraging individuals to take charge of projects and learn through personal effort. The project CUBCHO represents a tool designed to instill this DIY spirit in children, offering a compact, user-friendly solution that allows them to build, experiment, and innovate. By providing a platform for young minds to engage in self-directed learning and creation, CUBCHO aims to foster creativity, problem-solving skills, and a sense of accomplishment, making complex concepts accessible and fun for kids.",CUBCHO - the tool that empowers children,marin/marin-8b-instruct,generic
DIY Electronics,The OpenMV Cam H7 is an open-source MicroPython powered machine vision camera designed for low-power real-time applications.,"**DIY Electronics** is a brand empowering electronics enthusiasts and educators by providing accessible, affordable, and educational electronics kits for hands-on learning and projects.  The **OpenMV Cam H7 - Machine Vision w/ MicroPython** is a specific project by OpenMV, a DIY Electronics brand, offering a microcontroller-based camera module (H7) that uses MicroPython for easy programming and image capture, ideal for learning machine vision concepts and building simple computer vision projects.",OpenMV Cam H7 - Machine Vision w/ MicroPython.,marin/marin-8b-instruct,generic
